id,current_semester,current_cgpa,overall_attendance,at_risk
f1f11b54-ca1b-49d1-88b5-b9f36a57a9b0,2.0,9.81,71.3,0
7006ec6d-87ac-480b-86ea-a9b8143bc4ed,2.0,7.43,57.4,1
735fac46-561e-4e9b-8fab-1744b8f7309c,4.0,7.62,95.3,0
b6661307-cbf4-43cd-93c7-7bfebc22236a,1.0,5.82,90.6,0
112ea380-f370-463c-abad-540b5bc5b02c,4.0,6.44,79.1,0
6a4df9d2-08a8-4900-a4d1-b1cce5358b67,4.0,8.87,76.9,0
2d2d894f-bc2c-4b38-821b-b88283ac77ad,4.0,8.51,81.8,0
72678c82-38a3-423a-a567-7f09511ce1cb,6.0,5.44,81.9,1
9331d740-9ea6-4db5-b548-2213e206f732,6.0,6.76,72.9,0
0b8c6994-702c-4cd6-9023-93a536fdda55,4.0,7.96,77.3,0
391e48f1-7d0b-40be-92c6-592eda356258,6.0,7.07,69.7,0
27853259-68b6-46ee-99d2-e2cd051972fb,6.0,6.3,78.1,0
fabd594b-c2b4-4d6f-a344-573d868164d8,1.0,8.05,90.4,0
2da6abd3-1ac5-4187-83ae-69e65e94daa0,2.0,7.0,85.9,0
609bf32f-ef88-4183-8520-3469675c5ad3,2.0,9.7,82.3,0
fd8f6e7a-d896-47c4-8950-0208bf34097f,6.0,6.62,77.8,0
fce41950-4037-4603-9b82-da005fae7ad0,6.0,8.11,82.8,0
7fd2adc1-e640-4b50-a95d-9f8229652987,2.0,6.61,88.2,0
df6e6a38-cb17-48e9-8503-d29b0c34c068,4.0,7.69,90.9,0
064e4451-fbcc-4e2c-98df-4c9392264c60,6.0,8.9,76.3,0
346e2838-f1b6-494a-ad10-1e53b5a44b54,6.0,7.36,98.0,0
1da664ac-810c-46b3-a2be-8e9cc0e3030c,2.0,8.18,82.7,0
89844b29-684e-4711-8815-c6888760f4df,2.0,7.02,76.9,0
c60210a0-2054-4976-8d04-93b5738010b0,6.0,8.08,87.9,0
d0e331e2-b577-460d-b447-c38d2f8cf4bf,2.0,7.8,63.5,1
3ad01eef-4870-4b95-82d2-f092a08cae45,4.0,7.83,64.2,1
28f45d5e-3ca4-414c-8d8f-ef6292be852f,1.0,5.9,84.2,0
8e7667bf-cb57-4dad-89a5-464570b930cf,6.0,9.19,78.5,0
09c68ade-d265-41b2-b165-4dfdd282e15c,1.0,8.73,76.1,0
8fe529aa-f7fc-4e26-a519-e1a6ea9dcaa1,2.0,6.77,69.0,0
51d648a0-b49b-4f64-aa29-413ad1d43861,6.0,6.58,67.0,1
ceb67719-fd3d-4a91-9763-0a1afac5f32b,2.0,4.78,70.8,1
1d634bcb-1e4c-4d83-ad56-01a45c2b82c0,6.0,6.9,76.9,0
dfde5886-a435-499d-9a4b-e5353b1b3ef6,2.0,6.21,84.9,0
651b7fa7-b45d-4d55-9113-33adab00051b,6.0,7.05,97.7,0
5bb1fb9b-c011-4651-a87f-bc387702d0e8,1.0,8.26,69.5,0
8f128df5-f3ab-4bad-8ee8-00905acf346f,1.0,7.61,97.4,0
054a5ec2-537e-440c-a150-f427cd98fed6,1.0,8.01,77.2,0
873b1707-ebea-41fe-9627-6f38c5b22743,6.0,4.5,84.0,1
bc76a678-df74-48ec-bbe8-baf2133f63bf,6.0,6.75,73.1,0
73fa98ac-f27e-4723-aa28-3ba7a197eda3,2.0,7.7,76.6,0
5b724cf4-1098-49ac-8f0d-5945af648bbe,4.0,7.63,82.4,0
7cc457a4-a683-4f52-a032-e024018a2325,2.0,5.68,82.6,1
59030cad-3a1b-48ef-9d3e-7200bc044221,1.0,7.85,72.4,0
937f4d67-f6fe-481b-9743-e14f7c914d40,1.0,7.16,92.5,0
b547aafb-3f8c-4c9e-988c-125ddf5c8565,6.0,8.82,69.5,0
a0a03fae-0280-41ef-bd59-e491f86e6bcd,4.0,8.04,96.9,0
16654cf5-0dbe-46ca-bc6d-bc0eb686f04b,6.0,6.93,79.4,0
2195f2a4-7b37-4373-b6dd-55cfa6182581,2.0,5.48,68.1,1
c66ec193-2cd1-4f45-ac3f-fa1caba2ffe8,4.0,6.38,66.0,1
68ad6e38-e6f8-4388-b448-f7cc37d53371,4.0,7.89,74.6,0
5dddf8ec-f9e6-4e05-a2be-5df1892fbd38,1.0,6.12,61.3,1
9c967545-2216-46fa-95ce-5f15db52a6ca,6.0,8.54,77.2,0
fbeeb084-9c6b-4567-a8d5-a9cc0989f288,6.0,8.43,81.6,0
63d9ec0d-a6d8-48ff-8f36-5298388ca746,4.0,7.74,71.1,0
5f24eeb4-7edd-46d1-9bce-beab25093d71,2.0,7.57,73.4,0
9625757e-7b13-4777-bfd2-f7efe3fb69c4,4.0,7.34,84.2,0
fa5e4ff9-07c0-4945-919e-ffcfc2b67440,6.0,7.03,54.7,1
d0bebdf3-b2c8-41a1-9632-bee14f91d1b9,1.0,7.1,66.9,1
bfeac8cd-70de-41ab-aae8-9db7fb298d97,1.0,8.87,78.0,0
224a491e-b267-430d-8a0c-ee9e19880a7c,1.0,6.58,80.9,0
7612300c-13b5-494d-b31e-45f0277d9f4b,4.0,6.87,67.0,1
18be0e32-197e-4df0-8948-2a65eafedaa7,2.0,6.81,68.6,0
05b78ffa-dcb2-4499-967e-d687fd852e65,2.0,8.05,69.8,0
a8d23c1d-41bc-431c-b13a-ec8771147638,6.0,6.04,68.3,0
2bb2dd9f-4e45-49ac-863e-11edeed7e869,4.0,8.46,68.1,0
7076cf5b-b6ce-4b9a-8766-4819cdebceff,1.0,6.44,83.3,0
d429c2bb-e6dc-408b-98cf-a4a048882e0f,4.0,7.41,75.0,0
11fa9fa2-4971-40a3-9dc2-e676e2b27a4c,6.0,7.07,82.9,0
f4e38da8-2672-4599-8a01-b7027e4940fb,4.0,7.14,85.7,0
aec7a09d-cce7-4f59-b134-5a2de1609367,4.0,5.13,78.5,1
e4523ecf-bfdc-4ac6-bc2e-d7311f35c05f,1.0,5.71,70.8,1
d0b10b08-c5aa-40d9-a63d-bf7bf4e29c98,6.0,6.88,80.5,0
830bc4e6-6a2e-4714-991e-d3ccfb4cb7cb,6.0,6.63,77.1,0
d7d9c1fb-61f8-4826-9244-4fc724c10503,4.0,7.37,85.3,0
721c4609-6bc6-46c6-b64d-acae200964c9,2.0,8.51,66.9,1
5860d71c-eeb2-43f9-bf23-d369127d562c,6.0,6.91,89.7,0
5708dc25-f806-44f5-be17-75cb4ed8abd7,1.0,5.92,81.7,0
30cc6b23-8c66-463f-8a89-32002c807ecc,4.0,8.67,75.3,0
e3e027a0-404c-438e-9b96-6915df9ac2d5,1.0,5.77,76.2,1
e37435ed-b80b-46a4-b1c4-2c67effec2b3,6.0,6.66,90.8,0
13a15c8e-cfc3-45d7-8968-d1eed581e232,6.0,6.82,75.5,0
2d7d77a1-16a2-4d29-8024-8cf89fce4108,2.0,5.79,72.8,1
31f846b7-b8f0-4204-952c-b886f2d3c009,4.0,7.5,84.4,0
820d3435-69f9-4542-bbc7-53817d9b075d,2.0,8.59,67.8,1
35e42779-079f-425d-9f2f-266fbb0c4d19,6.0,5.87,87.3,0
adb162ca-3c48-4063-a1f7-004a5a975fbb,1.0,6.45,80.6,0
600a7614-8211-46e4-82bf-c0e719fb0c3a,1.0,8.47,68.6,0
03a9127e-d63e-41b3-8bee-89755be92428,6.0,8.2,75.9,0
ebb1915f-d328-4e0e-b86e-956ee6fcd97c,6.0,7.17,83.1,0
5d86059e-9ca8-4411-b11e-8b27b76b339b,1.0,5.45,62.6,1
4a1f8d7b-dbcf-4242-96c7-ef9d6aeb0e10,4.0,7.28,81.8,0
66e3c9d5-2d66-4671-8e86-6cba5ad48d76,4.0,7.2,69.5,0
8700c3f7-810d-40ef-b49b-ed095aa26a5e,2.0,8.74,84.0,0
f7778b69-42e0-4d77-9d5f-906ab089a863,2.0,7.66,68.7,0
9461c275-9e50-4dbf-844b-fdcec220b20b,2.0,7.69,72.2,0
1a6b449a-6f07-41ae-a808-2a1777a873fe,2.0,8.04,97.1,0
4886a7ec-9f8a-4141-812f-7adc1d815651,6.0,7.42,71.3,0
13ed051d-5b51-4aa5-8842-81d0e5806f5b,1.0,8.34,71.8,0
ecca7626-ae07-4f23-80da-9ddb1c516eda,1.0,8.83,85.6,0
ca77b9b0-3cd4-46a7-a0b3-c823780bf8b2,1.0,6.39,71.5,0
c6d291b4-cb0e-437c-8f0d-247676f2cf42,2.0,6.04,63.5,1
260211ee-937c-4df8-8848-9c1a0478c2f2,1.0,7.84,79.4,0
c8749c2b-b4ff-4f32-98e9-7daedb9e2ee9,2.0,6.95,80.0,0
6e59252b-8f4d-4b5a-8e11-c84524a75f63,1.0,4.76,75.8,1
22269da9-6a06-4549-9c7c-daa80bc404d3,6.0,7.71,81.7,0
32c44be7-76c1-4d77-a22e-66f87fb71acd,6.0,6.45,75.7,0
a11c7b94-3d35-4dcf-b26b-40a14c9c4994,2.0,4.5,84.9,1
98ce75a1-d148-4552-8946-5b38883ecef3,6.0,8.14,85.3,0
4bf65490-9937-4be1-b20c-5e676bb7785c,4.0,7.47,72.8,0
9a37bd95-c5e9-433b-a1a2-3a7c10975b01,2.0,8.77,74.2,0
db938d4c-c25a-4cac-bd69-6bcda93aa4cf,6.0,6.67,78.4,0
44e310ef-e692-422a-a593-c9867b6155d8,6.0,9.05,82.9,0
08a3fd49-db4f-4293-9631-cbf8c89d0a87,2.0,6.76,71.2,0
af70f11a-dacf-4a55-906f-d0f616848658,4.0,7.04,83.7,0
d2330171-f678-4f36-aee3-060fc9493057,2.0,6.77,80.4,0
3ba6bb55-fb55-45c1-8c1e-5c545095c667,2.0,7.66,84.5,0
f8bd4c71-45ff-4dab-b2d3-bbf1ebcd193b,4.0,7.64,88.5,0
19139439-ffbf-483f-ba8d-7ac63c091b03,6.0,8.13,68.9,0
2c31b150-b3c4-489f-8693-6013b9436ffe,4.0,6.76,85.4,0
3f585e7a-a76b-4a8c-94a4-c4043f78aeee,2.0,7.7,68.9,0
03a9826d-4b05-4977-b633-909e5cab854f,6.0,8.1,86.0,0
be804ffe-7b1c-4afb-be73-892ffdcaa995,1.0,9.36,77.4,0
fe7d693a-701e-4722-b742-b18e299411ad,1.0,5.55,68.6,1
2cd8aded-286c-4d6b-aef9-d3f737ee116f,1.0,8.21,92.1,0
4454e29c-1b68-4767-aaef-cb16b89997b4,6.0,6.23,82.6,0
8afbbc17-5de9-41d9-8309-09ea87c46621,4.0,5.87,76.8,0
4117a364-ae31-4089-8541-dac4555bee96,1.0,7.72,86.2,0
bda3289e-fa56-487f-ab01-2addfa83b70f,1.0,6.95,87.8,0
6100bd34-64d4-4824-9fc1-d2a28fb1ef85,2.0,10.0,85.7,0
1bb6f043-1c46-4430-890f-7bab8ffbd88f,2.0,9.09,71.6,0
eb92fbf1-8d20-4f42-872a-8aaa1edb0d66,4.0,8.57,82.2,0
bb1407aa-54d3-4443-bcf8-26a6e4b53711,1.0,6.61,79.5,0
c09b927d-fe3c-4e8d-a157-100cef49d473,4.0,5.52,74.6,1
a85f56b6-d3e0-40ad-8013-54d17dd157d8,4.0,10.0,67.6,1
409cf411-6e95-4cdb-b382-448abd0c129a,1.0,7.89,74.7,0
bef769fe-c1a0-4bf9-aa74-75899f4c4c31,4.0,8.48,79.4,0
cbe48a00-dba8-4941-8877-14b9d4018bef,6.0,6.96,81.4,0
51146eb7-964c-49c5-b017-92e613faf320,2.0,8.38,75.8,0
d689ac4b-bafe-4de3-afc0-e804c2580239,4.0,6.23,85.8,0
ad1cfaf1-754b-48ad-afc9-65092927ffc7,2.0,6.09,85.5,0
c1083a62-3b14-4f0d-8ffd-1c6cbaae1aff,4.0,6.79,75.7,0
f5a9cfac-58d1-4b44-9fe1-0b48e485a3ec,6.0,6.02,82.3,0
4fc2d90d-1585-4489-9ff9-6efd2aa92b0e,4.0,7.08,76.9,0
fb2c6ae3-df5b-4ce9-aebf-5328b0399ab1,1.0,7.68,83.9,0
6acff061-b26f-4ed0-b643-7e8744c10050,4.0,6.77,70.1,0
2de02bf8-dad6-4d6d-b1b4-371757677280,1.0,6.7,66.3,1
53e1e785-d6ed-4904-a0a3-d5d5fbef2753,1.0,5.29,61.4,1
95a87c74-750e-4a67-a9cd-e11e462e8260,4.0,7.33,67.4,1
2fb2c8b1-e864-4ab0-9271-1d083fe14749,2.0,7.6,98.0,0
fabd70fc-d6f2-4cc4-b34c-1379e85b960a,1.0,7.05,77.3,0
6b8a2c7d-2352-4224-b0d2-449f0997b999,4.0,7.99,71.0,0
3429e66c-34c4-4c6d-880e-b1533d5cc61d,4.0,6.7,83.9,0
2d35b1f4-f239-4d0a-8fe2-6dbd3991554c,6.0,7.94,73.4,0
121dad7f-adcb-4cfa-98b0-086aeca4ac60,6.0,7.36,60.1,1
2627b2fe-5f07-4dc4-9587-597de2848dc9,1.0,6.29,76.3,0
0c7864f5-f70a-4ef4-9532-68be5cec2413,4.0,6.55,86.8,0
06d36a42-a4bb-4852-8940-4dcf346b5523,4.0,6.84,87.9,0
e5daf360-227b-4498-8be4-f6377838e453,1.0,8.45,95.6,0
e7f7794c-9349-46fb-90c4-5d880bce28e9,6.0,7.65,74.8,0
ca0d8d1c-f746-4896-a363-530b495079f0,1.0,6.24,89.4,0
eee4b532-e095-4ce8-b5bc-7563e68b3e43,2.0,9.59,80.7,0
6078c613-ddd0-4405-ada8-7d19958af0ce,4.0,7.92,91.1,0
feb55156-cb88-4ab3-b9f6-de2ba4ee6975,4.0,8.26,78.0,0
ca34d703-c5f0-40d3-b570-d57728c74960,1.0,7.01,77.3,0
4e031b12-b862-41df-8fb6-89dc46a11145,6.0,7.73,98.0,0
511dc1d1-cdaa-440c-9440-19f6e47c84c0,6.0,8.4,97.9,0
0c68f883-aefd-437b-a79c-b3228e962429,2.0,5.93,90.5,0
6ff4f702-9890-4b07-8aad-27a23d83a88b,1.0,8.45,76.6,0
9e1d912d-ca84-4fde-a46d-a190e20223b8,4.0,6.65,63.9,1
226cdeb9-2944-4b73-a8db-c0a09e1d6871,1.0,7.17,83.3,0
a12b4220-8d69-47ee-b2da-fbe283d107bd,1.0,7.81,81.4,0
da4c690e-a178-42de-83ef-56798b0b6ebb,1.0,7.75,61.1,1
84b1ec70-0060-4429-ad11-d1b7321a067b,1.0,7.24,87.7,0
c53c0eb6-6619-4fb1-9280-7ac1349f6140,4.0,6.78,80.1,0
781ab867-85b4-4a89-b657-2560e8e11e9f,4.0,6.89,92.7,0
7effa285-57fc-4580-9cfb-a36daee85193,4.0,6.95,86.4,0
13ae7278-6bc5-4b1e-8115-0796e715a34b,6.0,8.68,74.9,0
c29d5a7c-2e78-4cd7-99ba-38b001cfbfd6,4.0,6.8,72.4,0
7621896b-a702-43ea-9b6d-0b3ada0972db,1.0,4.74,73.2,1
67acaf37-09d1-4ba8-9fb0-589c1c22065d,4.0,7.18,75.9,0
3f2306e8-733e-42be-991e-d9bac41e3a98,4.0,6.27,82.2,0
cd3921df-af1c-4e1a-a800-7743ad60fb5c,4.0,6.76,86.7,0
7d636658-44c2-4756-96e6-697014364165,2.0,7.73,79.9,0
2c9069d4-9a88-4ae7-99e8-4f8be0e22fc2,4.0,6.38,75.3,0
e9abd609-e222-4a3d-8c98-cf43455ef66d,6.0,7.2,55.8,1
33dfdc25-fe94-4ab8-97a9-9d843eca1d1a,4.0,6.87,83.9,0
cf725189-0502-4882-be60-f008746364e9,1.0,6.45,73.2,0
b289de15-f628-42c0-9b31-6f3c9c25c66e,6.0,6.91,70.1,0
1e1eb656-7ac2-4ba4-89c5-b9071f823d86,4.0,6.28,73.3,0
d85e8fca-bbb2-432a-922e-f426346f1357,6.0,6.61,79.2,0
05aff4fc-0ef5-40ff-99ad-8b7c67374707,6.0,5.44,70.7,1
6cd7d8b3-c3af-4e50-8560-b1df0af0c3aa,6.0,6.55,74.7,0
89ffb026-0aa3-4fe2-900d-586acff84510,1.0,9.21,90.9,0
a2fb666c-3ad8-4c6e-a3fd-186b8b563569,6.0,7.54,70.5,0
196f7491-0a87-49ba-bfdf-da1fce407e41,2.0,5.82,75.5,0
1d6c3143-7e5b-4247-af44-b4738b1ce4d4,4.0,9.45,74.0,0
5a991d9d-7d71-4b4f-a3d2-fef8d9bc66cc,2.0,8.36,62.1,1
b89da6be-0137-449d-a852-44063465cce8,1.0,6.44,77.6,0
ff5cf24e-86e2-4b6d-8bd4-08c0725e1f1c,1.0,6.17,65.8,1
5e6e508c-86eb-4621-a320-03ff96bef7bf,2.0,6.57,90.8,0
7d009897-58e5-4e80-b790-233714da2324,1.0,10.0,78.6,0
0e915a9c-5f50-4427-9524-e51633f06ad9,6.0,5.6,95.7,1
32601f4c-ac26-46dc-b11f-f30daa1e54e4,6.0,7.51,82.8,0
85255be7-77f6-41bd-8cd2-92739befd69c,4.0,6.54,79.6,0
c2333b31-09ec-44b0-b676-c9154914e222,4.0,6.26,65.7,1
6eb783df-851f-4b52-a38f-06c17a232bcd,1.0,6.43,70.6,0
52af834e-801d-461c-bb7c-4625f9a73384,1.0,7.14,84.0,0
38982a79-49a1-412b-b2a1-174290b886e1,2.0,7.85,92.9,0
f0ea0fe2-f9e9-4a52-ae84-3efa8051a3be,6.0,7.5,94.2,0
fb548331-f4e9-4ad6-bf26-6c49b50598aa,1.0,6.19,91.0,0
ded5b364-8588-458e-a9f7-e2a193883775,4.0,7.81,79.5,0
ca239e5a-e87b-4521-8602-e18c40dcbded,6.0,6.45,67.9,1
3f0c0058-6e4a-4577-8cd3-5838c6a78ae9,1.0,5.66,68.9,1
37ded831-df02-41b6-b566-5b713bf15bb6,6.0,5.83,82.9,0
f084fc33-aa1b-4930-84ca-c1544cf2ef6d,2.0,7.71,83.5,0
af175c0c-15f0-44f8-81e5-ef8524d49392,2.0,7.03,64.5,1
a14a6397-5b93-464b-b6d8-3ebbe5e7f1c4,6.0,8.81,68.3,0
7f323044-97ed-4628-84f2-587b2028e5c3,1.0,5.63,97.2,1
b196267c-e9ec-446b-bb9d-7daaa27cc54c,2.0,8.12,65.8,1
9129f6dd-8c42-4689-8390-b53442393f78,2.0,8.54,84.8,0
861f280c-3cfe-4b18-9c18-3ecca68192af,1.0,9.48,78.2,0
009a5366-715a-44a4-a575-400171178811,2.0,9.16,78.6,0
e309f6c1-3d89-4582-be44-594c355de08f,2.0,9.66,92.2,0
2bf9d12f-2d2b-4f7d-be18-857095334cf6,4.0,6.62,70.1,0
98741a3c-0101-46f1-91bf-4e998872c26b,2.0,6.56,80.8,0
f81012b0-336d-475e-978a-62fa6bad2777,1.0,7.16,83.6,0
d126ca15-f173-4e5d-81d2-5cd2c3c6e19c,6.0,7.92,98.0,0
2827d682-37df-4ce1-bbf3-9a60813adb16,2.0,7.72,72.3,0
0271955f-73e9-486c-aa69-22c6b30e7255,4.0,7.71,81.2,0
9ffc5036-e640-4c0d-8ea4-34c012166d44,2.0,7.81,76.3,0
97b50ebe-91e6-4fb0-a91c-135abc8331ca,6.0,7.76,77.2,0
ad1c08a6-3a5d-4402-9394-1c067df9d095,2.0,6.94,98.0,0
a44b713b-5de1-44ef-9d5f-dafe07c64fde,6.0,8.4,84.2,0
6b1dadad-96c2-49f5-84a4-8c090c6ca578,2.0,5.32,80.9,1
5a180a68-54be-4b6c-af4b-9c4072b7383b,1.0,5.39,75.0,1
979c5139-8e28-4f80-9db7-faa090cfc4b7,1.0,6.0,95.1,0
9e562acb-851d-41d2-9875-9842ea42fe88,6.0,7.08,68.7,0
2bda3d37-e0f4-48cc-9cc7-ee93364d80e6,1.0,7.8,79.4,0
b294feb3-9edd-4130-aa19-51ab3620f741,2.0,6.85,54.4,1
dd718e4e-5783-46d7-993d-657fc25b4bc1,2.0,6.9,63.0,1
bfa9803f-ace8-45c0-8031-109c494be49f,2.0,8.85,98.0,0
baf154b5-2d4d-4c0a-b4fd-2b05d2feb16e,4.0,7.43,79.1,0
e62b1509-924f-49ed-b148-ebe005f3b3d1,4.0,7.04,74.5,0
392519ab-fef0-4af9-b669-0366ff089c3b,2.0,6.51,81.3,0
967e9c59-a0a5-4c88-a46d-25b7fcdf0d4b,4.0,8.45,70.0,0
3ff7a083-bbb8-4966-a9a1-1124f6072d27,4.0,5.35,84.4,1
ca37fdd3-d86c-4a59-be8b-20eb2ef37fca,6.0,5.57,98.0,1
53d735ae-0b66-4612-8de1-45b5b36f2c5a,6.0,5.82,98.0,0
facb6741-3b79-475c-8523-b8c4a0ed17d9,1.0,8.05,87.1,0
3a834626-4b2d-40ad-af64-391d6d26242d,4.0,7.88,86.5,0
fe2ab766-c230-4fea-94cd-c699bfe2124d,6.0,6.65,70.0,0
87176dc9-9357-4050-9eac-33089f76d613,6.0,8.48,92.3,0
9877e6b1-3dbd-4639-9554-23724ee2c71d,6.0,8.6,61.4,1
9467a5a0-7ccc-416c-8cae-944aed9f9320,4.0,8.87,91.2,0
62c44b4b-e9cc-4962-aa45-cdf98a4d9d4e,4.0,9.09,78.2,0
ae58e1a2-83a2-4a00-b180-ebf074387d60,2.0,8.3,68.1,0
a7e54863-172b-49ba-b337-e831cb190afc,6.0,7.94,56.9,1
2e581dd5-2c58-4883-b47d-a38757a9ae2c,2.0,6.03,87.2,0
19e7e30a-9014-48e2-97a8-a82136a65209,2.0,7.59,77.2,0
148f981d-05e3-45d6-a6a5-884a8ec8b09f,2.0,8.68,76.6,0
6084b88e-7a2a-41e6-9c65-b0272b99019d,1.0,7.28,60.0,1
108be8c2-c46c-4508-8eee-90d4ecbb7007,6.0,8.53,98.0,0
67319a27-1f17-45dd-9c7b-047d2b7b4bd5,1.0,5.7,78.0,1
5a29a8d1-4006-4a46-a1cd-46c3bce70e8d,2.0,8.72,98.0,0
891d3a1b-102f-4954-b3c7-bd714661e911,4.0,6.98,70.7,0
ce7c0672-b2c4-47ee-a04c-b9c605806d05,2.0,6.96,61.7,1
1f111f32-6dea-4fb2-8266-3afcc57e1bda,1.0,7.27,77.8,0
74abd212-9d4f-46c8-be47-9e8f5727300d,6.0,6.9,86.1,0
02eb3988-d904-491b-a8f0-624840cdfd5b,4.0,9.15,66.8,1
5c7d2b4f-8d36-4f85-bc52-905eb86c5725,1.0,7.15,80.4,0
183ec393-673a-4381-a789-805b44ed63d0,2.0,8.7,61.1,1
2a74a1f7-4817-49e3-aa83-fe858c9309e7,6.0,7.55,86.2,0
40a61690-bf42-4f59-b592-9457a1d8c464,6.0,5.03,82.6,1
4a9797d1-c415-4454-a869-91ae222216c6,4.0,7.92,84.1,0
ff722687-67d6-48c9-9bc2-b0310632a222,2.0,7.32,77.7,0
f30d26fc-0427-4381-98e0-0e50c28045fb,1.0,6.58,70.2,0
5f40dab2-cc69-49e5-b14c-2f5b4034448f,4.0,7.51,78.6,0
7298b618-497f-42ee-9e4d-78d5ac898fa2,2.0,8.51,96.3,0
3afa5079-75dc-467c-9d00-4ffc5a3d10aa,1.0,6.91,84.0,0
b1a50bdf-1d4f-4ed0-9195-752c75f7fff5,4.0,8.75,90.6,0
67c69404-4b2a-40a7-b081-d7b9858c2021,6.0,6.48,64.9,1
f0b5b045-aa4c-4d6f-a659-650cbaaecb75,4.0,6.83,63.9,1
819fbb44-a47d-4268-b4fe-07a08755c05e,6.0,6.97,97.4,0
884f29c5-f10f-4219-a7b2-a143e98d99c0,2.0,8.21,90.2,0
800dadeb-a4b5-4ab3-91c8-1725ae3fdb6b,6.0,8.31,64.4,1
e61fd452-72da-45f6-b3e1-ffdfc86b08a4,6.0,8.0,82.5,0
e8843073-606d-40d5-a309-f67a825c73a5,4.0,7.02,72.7,0
817de8c1-c5e2-40fa-9561-2c6f470343ac,1.0,8.33,76.4,0
e9bd7e45-5a3b-460b-b29f-8bc8225ce18f,4.0,9.5,93.2,0
53efafe3-7bf0-4171-b368-f5ffdd3a0e13,1.0,7.92,75.9,0
6be14b8c-0196-4b0b-9d4b-004b38ebc617,4.0,9.17,76.2,0
f28b955e-3429-4554-805f-6ae433c26064,4.0,8.21,66.6,1
607f8e96-b735-4676-bc7f-035b2e782ee7,2.0,7.58,98.0,0
916ca084-1eb5-4387-ba35-a130d7dac3b2,1.0,7.81,67.1,1
82cb0222-b361-4899-91c6-f06468d0edff,6.0,7.38,78.4,0
b27fbe5b-04b5-442d-b4e6-5f8118d5c9d3,1.0,7.16,68.3,0
