id,student_id,overall_score,technical_score,aptitude_score,coding_profile_score,recommended_actions
c199f3b1-b396-4300-aa07-644670e9137e,f099bf6e-1119-4e3a-ad70-6afc47697f2d,94.4,94.8,88.2,100.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
0d46d577-7f6d-470d-8835-42ff6d9c3868,3d2634ae-ac32-4d69-96a0-46233b2d7dad,83.3,92.3,68.0,86.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
c421710d-f795-490a-8b2c-f84265040f0d,907b3117-be17-490e-b321-815152024843,64.7,59.9,70.5,65.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
b84b0422-d78b-4a00-b4ce-5143642a8553,367906ff-ef0a-467c-89ba-6fadff57f435,68.2,67.4,74.8,62.8,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
e8d7f933-a173-422e-99b2-7aef40a2ad41,5f98ac60-2390-4b08-b203-436e27e21256,61.7,63.3,45.1,76.1,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
d46d6562-c95f-484b-9cc3-10b01360e019,a28a7e4f-6327-4d2a-9fb6-c5a24dd9c085,53.3,47.5,78.2,36.2,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
93dccefc-efdb-4ead-97c5-dae70eb1e0dd,b2ed1d86-f2ea-4994-bb8a-a6d29c11d68f,71.8,60.9,92.0,66.2,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
b70026a5-cc37-42cf-9186-eb59a9c934c0,62635a52-79be-4983-a930-e0a4dddc561a,58.8,46.5,84.3,49.7,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
5b2e9afa-6d58-4e0c-aaeb-ef964d5e63e4,7200bf7a-08c0-4ca4-9c0e-6d596569e2a1,76.2,81.4,59.2,86.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
29efaf66-e113-4845-acf2-9daca1fb80fe,d0a7a248-1401-4ba2-90c5-fcb92e59123f,82.7,82.3,75.6,90.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
28560b61-c125-4568-be59-70e4cec575a9,2edafeee-b273-45ff-8ad6-7fa3a827fdbd,70.1,61.1,79.4,72.9,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
e194e594-8547-4eb9-b691-93a2bd5a9d2e,95367de5-7130-4f76-8f84-a68859c30c97,78.0,77.3,90.9,65.9,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
aa0c7185-0eb0-416e-9259-cdd8db6e8d38,f1f11b54-ca1b-49d1-88b5-b9f36a57a9b0,91.6,99.8,72.4,100.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
5ca97852-4132-477b-8ec7-9cb4d49da55b,7006ec6d-87ac-480b-86ea-a9b8143bc4ed,70.4,69.4,80.7,61.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
5e9cb3d9-a156-4fa2-b4f6-43ebef285067,735fac46-561e-4e9b-8fab-1744b8f7309c,64.6,63.7,65.4,65.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
c09aacfa-9797-4fc3-b075-60686747be97,b6661307-cbf4-43cd-93c7-7bfebc22236a,64.2,54.8,92.1,48.8,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
d08aa76c-7fe3-4086-a1bc-c9bbcd9ae764,112ea380-f370-463c-abad-540b5bc5b02c,67.5,59.0,78.4,67.9,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
5755ea4e-a28f-44ed-8550-5be83403925b,6a4df9d2-08a8-4900-a4d1-b1cce5358b67,79.9,86.1,78.1,73.6,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
b3649f8e-3704-41fb-b916-c4a8a36c6793,2d2d894f-bc2c-4b38-821b-b88283ac77ad,78.0,77.4,83.1,73.8,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
33721521-828b-4dca-a209-51299be4258b,72678c82-38a3-423a-a567-7f09511ce1cb,51.0,46.2,48.4,59.9,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
ded1248e-cf8b-432c-9db2-bb716ae00534,9331d740-9ea6-4db5-b548-2213e206f732,60.6,63.5,57.8,59.6,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
fb6b607b-2352-41fb-a127-2f4fc7dea04c,0b8c6994-702c-4cd6-9023-93a536fdda55,71.9,73.6,80.8,60.9,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
6c84085d-4f73-4bd4-b3b0-9e6aa79efb11,391e48f1-7d0b-40be-92c6-592eda356258,69.0,73.1,73.3,59.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
0c29412f-b428-4022-a2cf-8ef8de5344c5,27853259-68b6-46ee-99d2-e2cd051972fb,65.6,66.3,50.3,80.1,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
f1d30777-98f2-4b93-8511-49f6aaa9fab5,fabd594b-c2b4-4d6f-a344-573d868164d8,84.9,78.8,91.0,87.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
40c820e1-b5e4-4f1d-bda2-8f4a8adf3b4e,2da6abd3-1ac5-4187-83ae-69e65e94daa0,66.0,62.1,67.5,69.6,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
86e1d436-369f-4c58-88ea-efbee750fd09,609bf32f-ef88-4183-8520-3469675c5ad3,84.5,86.4,84.9,81.6,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
7d24ea07-e349-4d31-ad9c-b7d4f59a3da2,fd8f6e7a-d896-47c4-8950-0208bf34097f,61.7,64.0,57.0,63.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
f7904ce9-ffea-4408-a58f-c5adfcfa5cac,fce41950-4037-4603-9b82-da005fae7ad0,73.2,73.2,74.1,72.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
bd05aed6-4d54-4ea2-9541-33d5af3cb48b,7fd2adc1-e640-4b50-a95d-9f8229652987,62.9,57.4,81.1,51.9,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
cb710734-6eb5-4c3b-be50-899287a31af9,df6e6a38-cb17-48e9-8503-d29b0c34c068,59.1,67.6,54.0,53.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
bec702cf-bb87-46c9-b9a8-a6d0a3041053,064e4451-fbcc-4e2c-98df-4c9392264c60,86.2,92.0,73.7,91.1,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
e6b9e113-a191-415a-af7a-029e5f328306,346e2838-f1b6-494a-ad10-1e53b5a44b54,72.7,69.8,73.9,75.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
7b26c609-a04a-4f46-b23a-eba0b65b773d,1da664ac-810c-46b3-a2be-8e9cc0e3030c,81.1,83.2,64.0,95.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
fcb6ea24-2f08-40ef-a4d7-370d51cf2c65,89844b29-684e-4711-8815-c6888760f4df,62.1,69.2,58.2,56.6,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
7c496790-95fd-4c27-9650-07ddbad384f6,c60210a0-2054-4976-8d04-93b5738010b0,63.0,67.4,59.4,60.9,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
d3a77778-c532-43f0-b6ec-830d991ccdf0,d0e331e2-b577-460d-b447-c38d2f8cf4bf,73.8,72.6,72.2,77.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
1aa69ed1-c26f-4046-b64a-b240c6137a2c,3ad01eef-4870-4b95-82d2-f092a08cae45,70.0,73.2,68.4,67.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
437b0a37-e833-4fe6-bfa8-3b5f843c071b,28f45d5e-3ca4-414c-8d8f-ef6292be852f,60.8,60.7,75.2,46.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
169ca692-da68-452d-8cc7-eced854b3f3d,8e7667bf-cb57-4dad-89a5-464570b930cf,87.7,86.7,77.6,99.2,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
8f105206-0b71-4620-a28e-338e2b70a5cc,09c68ade-d265-41b2-b165-4dfdd282e15c,67.6,79.4,50.2,69.2,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
b2b6306a-da0b-4319-88fb-cc11e5069889,8fe529aa-f7fc-4e26-a519-e1a6ea9dcaa1,53.1,56.1,57.6,44.6,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
a91a6fad-03d5-49de-a025-dde17a32ef63,51d648a0-b49b-4f64-aa29-413ad1d43861,60.7,56.3,63.1,64.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
cd295298-8bea-4e56-ba91-c16b3f4498d1,ceb67719-fd3d-4a91-9763-0a1afac5f32b,55.6,37.8,93.7,41.1,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
56c838b8-7597-487f-bb67-c5668fcb6e17,1d634bcb-1e4c-4d83-ad56-01a45c2b82c0,63.6,64.8,50.9,74.8,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
021dd06b-25ff-462f-80ff-4b5325d98555,dfde5886-a435-499d-9a4b-e5353b1b3ef6,53.5,58.1,52.2,48.8,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
de98128d-996b-40c4-96b8-d31a23cc70c1,651b7fa7-b45d-4d55-9113-33adab00051b,77.0,75.7,70.4,85.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
a8e37dd5-b4e7-4b25-a60a-c193d70b7724,5bb1fb9b-c011-4651-a87f-bc387702d0e8,76.4,75.1,83.1,71.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
92d0264a-8004-4a92-90f7-651c0bf8e519,8f128df5-f3ab-4bad-8ee8-00905acf346f,80.9,77.2,80.3,86.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
9e4fd66d-f15c-4574-9a68-a610919a0db0,054a5ec2-537e-440c-a150-f427cd98fed6,70.5,68.1,90.5,53.6,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
f8b49e26-2ba9-4942-bcf2-6f019a510a64,873b1707-ebea-41fe-9627-6f38c5b22743,61.5,45.7,87.6,56.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
a556c8d3-8e8f-4c48-b918-e0c956d32902,bc76a678-df74-48ec-bbe8-baf2133f63bf,78.3,73.7,83.0,79.8,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
15bd7b8e-6365-4d0e-ad54-4db979083368,73fa98ac-f27e-4723-aa28-3ba7a197eda3,64.2,69.0,63.7,58.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
bb4b2a33-402f-49f8-afa4-06f237fb10fc,5b724cf4-1098-49ac-8f0d-5945af648bbe,73.2,74.9,57.0,87.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
ee0c7444-afd6-4a9f-bbbe-08f0fb9f25d6,7cc457a4-a683-4f52-a032-e024018a2325,63.8,45.4,92.3,60.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
9218dd8e-f141-43c1-8b7a-2544afdc95c1,59030cad-3a1b-48ef-9d3e-7200bc044221,71.2,69.3,73.6,71.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
be4abecf-d598-4a21-be94-0c5553f7a8fb,937f4d67-f6fe-481b-9743-e14f7c914d40,69.2,70.2,62.6,74.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
5399ab8e-d034-48b5-8f03-3bd53e042444,b547aafb-3f8c-4c9e-988c-125ddf5c8565,80.6,85.4,81.6,73.1,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
e8472196-f0d2-4e78-a413-c4302baae23b,a0a03fae-0280-41ef-bd59-e491f86e6bcd,91.2,84.7,92.2,98.7,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
7f735cff-314a-4c1f-bf82-8287d9671803,16654cf5-0dbe-46ca-bc6d-bc0eb686f04b,57.6,57.6,64.7,50.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
a70ee82f-89e9-4d7e-9920-aae8e0c099ae,2195f2a4-7b37-4373-b6dd-55cfa6182581,43.7,44.2,56.7,30.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
140ff358-9418-46c7-a982-1c373fc5c6df,c66ec193-2cd1-4f45-ac3f-fa1caba2ffe8,55.7,63.6,50.8,50.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
3f515d56-c15d-4ab9-ab2e-ec9657f2782f,68ad6e38-e6f8-4388-b448-f7cc37d53371,83.6,78.4,82.2,91.8,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
9f83e2a7-9761-4bef-806c-7909d7476cf5,5dddf8ec-f9e6-4e05-a2be-5df1892fbd38,66.2,66.9,59.0,72.6,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
29708c6a-5c33-47f8-889c-7a4c1a7a8254,9c967545-2216-46fa-95ce-5f15db52a6ca,72.5,72.3,58.8,86.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
500f257b-9605-418c-bc89-8cf7d1742365,fbeeb084-9c6b-4567-a8d5-a9cc0989f288,79.6,85.8,55.3,95.7,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
388aa0ad-a7eb-4770-b159-a979e6d6e44c,63d9ec0d-a6d8-48ff-8f36-5298388ca746,75.9,79.3,74.8,72.6,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
334137dd-0622-4e6c-9f7e-18b9519beafb,5f24eeb4-7edd-46d1-9bce-beab25093d71,66.7,64.6,62.9,73.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
0e22ce01-4ef2-4f5b-bd22-b7b413fc34c9,9625757e-7b13-4777-bfd2-f7efe3fb69c4,67.9,68.7,63.1,71.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
700834f4-34e6-4cac-9cd7-76cf42eed5de,fa5e4ff9-07c0-4945-919e-ffcfc2b67440,67.3,69.7,46.6,84.7,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
43ebb485-e7a5-4467-91d8-b22d8fa4702b,d0bebdf3-b2c8-41a1-9632-bee14f91d1b9,57.1,63.9,52.4,52.7,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
f111d3dd-9d5d-4f0c-be15-8d300e619c5f,bfeac8cd-70de-41ab-aae8-9db7fb298d97,80.6,76.2,80.1,86.8,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
dc23338a-480e-4815-8a41-bfd26d30e3bb,224a491e-b267-430d-8a0c-ee9e19880a7c,56.8,60.8,49.8,58.6,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
cb887d87-1071-4db6-b0bb-af9f9cd97504,7612300c-13b5-494d-b31e-45f0277d9f4b,68.2,63.9,82.2,60.1,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
2f62a14b-70ba-4383-9345-1969a3e4ecae,18be0e32-197e-4df0-8948-2a65eafedaa7,57.8,56.8,70.4,46.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
8dd50839-8372-46f3-8536-a2054a0560aa,05b78ffa-dcb2-4499-967e-d687fd852e65,83.3,78.0,85.4,88.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
d604ba59-3061-4ada-a821-fba57f20ed24,a8d23c1d-41bc-431c-b13a-ec8771147638,53.6,48.0,58.7,55.9,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
33f3be18-59cd-4116-9b62-7754be18de51,2bb2dd9f-4e45-49ac-863e-11edeed7e869,70.0,73.2,76.7,59.1,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
610e28ff-0681-4f01-8977-645e9785dafe,7076cf5b-b6ce-4b9a-8766-4819cdebceff,71.7,65.6,83.8,67.6,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
13456138-2742-47f2-87c2-fa29d056df77,d429c2bb-e6dc-408b-98cf-a4a048882e0f,69.3,69.3,66.2,72.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
e871f130-0fbb-4231-ad28-a8da12c0121d,11fa9fa2-4971-40a3-9dc2-e676e2b27a4c,63.0,67.7,60.4,59.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
ed5e5c23-b27a-4330-8d66-6c90db13c643,f4e38da8-2672-4599-8a01-b7027e4940fb,60.9,64.4,45.4,71.8,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
9da00d44-ef0f-4aea-b57c-9bfe4db258e8,aec7a09d-cce7-4f59-b134-5a2de1609367,50.5,40.2,88.1,26.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
3b989b43-86cc-46b7-aa17-2ef22886cd99,e4523ecf-bfdc-4ac6-bc2e-d7311f35c05f,44.8,46.5,46.0,41.2,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
b0eaa418-e718-4de8-a1c0-76c70f39b216,d0b10b08-c5aa-40d9-a63d-bf7bf4e29c98,73.1,72.8,82.3,64.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
dabcdec8-463e-45d5-b3b8-b61f690c8fb0,830bc4e6-6a2e-4714-991e-d3ccfb4cb7cb,71.2,60.0,92.9,64.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
c98da8ec-5efc-4e32-a8d3-acb09e60a0e6,d7d9c1fb-61f8-4826-9244-4fc724c10503,77.9,79.0,76.4,77.9,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
924e4e3f-54b1-4a7b-a11e-83be72c869d3,721c4609-6bc6-46c6-b64d-acae200964c9,68.9,72.2,67.1,66.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
b10dfed6-249e-4cc1-96f0-fa7e4e308f46,5860d71c-eeb2-43f9-bf23-d369127d562c,68.5,72.3,48.8,83.2,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
f2f4c10b-f70b-4b80-921e-046e8680cbfa,5708dc25-f806-44f5-be17-75cb4ed8abd7,65.7,55.2,85.5,59.8,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
7aafb0b5-2aa6-4c73-97d7-aaf2d0ea279c,30cc6b23-8c66-463f-8a89-32002c807ecc,80.5,92.0,49.2,96.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
f2d85599-95ff-4948-ae4d-72f4925d59be,e3e027a0-404c-438e-9b96-6915df9ac2d5,66.0,63.2,64.4,71.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
3d6e78bf-98cc-499d-99fe-2dbffe892dd6,e37435ed-b80b-46a4-b1c4-2c67effec2b3,71.3,58.3,87.6,72.2,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
3c28fdc0-19d1-4c80-8c67-29989a11af15,13a15c8e-cfc3-45d7-8968-d1eed581e232,74.9,74.1,79.9,70.9,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
b93e43d7-05a3-4ef6-bdae-a474d223b83a,2d7d77a1-16a2-4d29-8024-8cf89fce4108,57.7,58.4,70.4,43.9,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
181928ec-d2f2-4f68-b74e-8efba1cfd9ec,31f846b7-b8f0-4204-952c-b886f2d3c009,72.1,78.1,50.1,86.2,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
dfb23322-8b18-4960-bdef-1f1ddf6b7f9e,820d3435-69f9-4542-bbc7-53817d9b075d,70.2,74.7,54.0,80.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
c560cd10-be17-4e67-92e8-ca9fa36d5a9f,35e42779-079f-425d-9f2f-266fbb0c4d19,60.4,56.4,60.5,65.7,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
