id,student_id,title,category,description,achieved_on,issuing_organization,proof_url
809700d4-90e5-4b46-9bc0-c6c051d5a9fb,f1f11b54-ca1b-49d1-88b5-b9f36a57a9b0,Coding Club Event Organizer,CLUB,Achievement recorded under Club category.,2024-12-15,IEEE,https://uei-proofs.s3.amazonaws.com/ach-5dc7eb1a.pdf
271e14a7-7896-4281-a987-46c911847709,112ea380-f370-463c-abad-540b5bc5b02c,Smart India Hackathon - Finalist,HACKATHON,Achievement recorded under Hackathon category.,2025-09-01,External Body,https://uei-proofs.s3.amazonaws.com/ach-c58d2c14.pdf
ac82c951-1fda-4ba8-8e1b-bf1810b3250e,0b8c6994-702c-4cd6-9023-93a536fdda55,CodeChef Div 2 - Top 10%,CONTEST,Achievement recorded under Contest category.,2026-01-14,AICTE,https://uei-proofs.s3.amazonaws.com/ach-48cd46c3.pdf
0f65ae29-5d19-473f-ba1d-1cdc4dbc9394,27853259-68b6-46ee-99d2-e2cd051972fb,AWS Cloud Practitioner,CERTIFICATION,Achievement recorded under Certification category.,2026-05-26,IEEE,https://uei-proofs.s3.amazonaws.com/ach-56f5d2a8.pdf
9f449671-d85e-4bd1-8a20-76142e8ce914,2da6abd3-1ac5-4187-83ae-69e65e94daa0,Coding Club Event Organizer,CLUB,Achievement recorded under Club category.,2025-05-14,AWS,https://uei-proofs.s3.amazonaws.com/ach-47dce28e.pdf
94e5d4cc-5ad0-4eb2-a170-077cbb2ce4a4,2da6abd3-1ac5-4187-83ae-69e65e94daa0,Smart India Hackathon - Finalist,HACKATHON,Achievement recorded under Hackathon category.,2026-04-05,Google,https://uei-proofs.s3.amazonaws.com/ach-98be886d.pdf
6da6a8f5-0b11-4b6a-8c76-ddc7fcd3a381,609bf32f-ef88-4183-8520-3469675c5ad3,GeeksforGeeks Coding Contest,CONTEST,Achievement recorded under Contest category.,2026-03-31,SKIT,https://uei-proofs.s3.amazonaws.com/ach-db0d5196.pdf
e4bad65e-9227-45e8-8975-9027708d4a28,fd8f6e7a-d896-47c4-8950-0208bf34097f,Technical Club Core Member,CLUB,Achievement recorded under Club category.,2025-05-24,AICTE,https://uei-proofs.s3.amazonaws.com/ach-7658fd49.pdf
432af978-087b-499c-af7c-d329685f05c3,fce41950-4037-4603-9b82-da005fae7ad0,Coding Club Event Organizer,CLUB,Achievement recorded under Club category.,2025-10-22,External Body,https://uei-proofs.s3.amazonaws.com/ach-994466dc.pdf
4b1e4a18-eb77-4a11-b962-f81c11ff777f,7fd2adc1-e640-4b50-a95d-9f8229652987,IEEE Conference Paper - Co-author,PUBLICATION,Achievement recorded under Publication category.,2025-10-23,SKIT,https://uei-proofs.s3.amazonaws.com/ach-641d4b8b.pdf
1bd8795e-3675-4c7f-9674-72274a4254b7,064e4451-fbcc-4e2c-98df-4c9392264c60,LeetCode Contest Rank,CONTEST,Achievement recorded under Contest category.,2026-07-01,Google,https://uei-proofs.s3.amazonaws.com/ach-7ea92140.pdf
3a96d114-bf04-4198-8c1d-f1a5029b620d,1da664ac-810c-46b3-a2be-8e9cc0e3030c,University Badminton Championship,SPORTS,Achievement recorded under Sports category.,2025-02-17,Google,https://uei-proofs.s3.amazonaws.com/ach-ec7e1323.pdf
1cf92f82-f0c9-42ff-8796-3e48c9c4a654,1da664ac-810c-46b3-a2be-8e9cc0e3030c,Research paper on ML applications,PUBLICATION,Achievement recorded under Publication category.,2026-06-10,AWS,https://uei-proofs.s3.amazonaws.com/ach-6bae365d.pdf
4a1718a3-2305-4ec5-90cd-10e86d2214a2,c60210a0-2054-4976-8d04-93b5738010b0,AWS Cloud Practitioner,CERTIFICATION,Achievement recorded under Certification category.,2024-07-10,AWS,https://uei-proofs.s3.amazonaws.com/ach-25de5a3d.pdf
3a106cfd-764e-413b-9238-5d7c7754a834,3ad01eef-4870-4b95-82d2-f092a08cae45,University Badminton Championship,SPORTS,Achievement recorded under Sports category.,2025-11-24,External Body,https://uei-proofs.s3.amazonaws.com/ach-6ce5b802.pdf
a53c9096-f288-4484-87a9-82a9563abeaf,51d648a0-b49b-4f64-aa29-413ad1d43861,Smart India Hackathon - Finalist,HACKATHON,Achievement recorded under Hackathon category.,2026-01-09,External Body,https://uei-proofs.s3.amazonaws.com/ach-6220f61b.pdf
cbbbccec-2a70-4be5-a3bf-42c14e579332,51d648a0-b49b-4f64-aa29-413ad1d43861,Technical Club Core Member,CLUB,Achievement recorded under Club category.,2025-08-29,SKIT,https://uei-proofs.s3.amazonaws.com/ach-c0d95915.pdf
1cfd552a-66e0-482c-b280-cedfa9c22d90,ceb67719-fd3d-4a91-9763-0a1afac5f32b,CodeChef Div 2 - Top 10%,CONTEST,Achievement recorded under Contest category.,2025-02-16,AICTE,https://uei-proofs.s3.amazonaws.com/ach-7fffbd8e.pdf
4400831b-a1ca-41f0-a390-9b2db3ac8afa,1d634bcb-1e4c-4d83-ad56-01a45c2b82c0,Hack36 Winner,HACKATHON,Achievement recorded under Hackathon category.,2024-11-17,AICTE,https://uei-proofs.s3.amazonaws.com/ach-038a8621.pdf
091aa78a-7fba-4c7a-a337-8ec20186faeb,1d634bcb-1e4c-4d83-ad56-01a45c2b82c0,Research paper on ML applications,PUBLICATION,Achievement recorded under Publication category.,2026-07-09,Google,https://uei-proofs.s3.amazonaws.com/ach-ae6e2d2f.pdf
e91306a5-2224-4158-98ae-5e4178e23777,651b7fa7-b45d-4d55-9113-33adab00051b,Technical Club Core Member,CLUB,Achievement recorded under Club category.,2025-10-01,External Body,https://uei-proofs.s3.amazonaws.com/ach-25aacc21.pdf
f84cc103-2a60-41e2-abf2-c8b20eeb7816,73fa98ac-f27e-4723-aa28-3ba7a197eda3,Inter-college Cricket Tournament - Runner-up,SPORTS,Achievement recorded under Sports category.,2025-03-29,Google,https://uei-proofs.s3.amazonaws.com/ach-954cc888.pdf
73919168-c368-4faf-a67e-c66844c81b3d,7cc457a4-a683-4f52-a032-e024018a2325,College Hackathon - 2nd Place,HACKATHON,Achievement recorded under Hackathon category.,2026-02-15,AWS,https://uei-proofs.s3.amazonaws.com/ach-675924d1.pdf
f3353c9e-cae5-44c8-a4f8-b67a77e54988,a0a03fae-0280-41ef-bd59-e491f86e6bcd,Inter-college Cricket Tournament - Runner-up,SPORTS,Achievement recorded under Sports category.,2025-07-09,External Body,https://uei-proofs.s3.amazonaws.com/ach-37887ac9.pdf
a179c70f-99f6-46cc-bdca-4f3eaf7b6b0a,fbeeb084-9c6b-4567-a8d5-a9cc0989f288,Inter-college Cricket Tournament - Runner-up,SPORTS,Achievement recorded under Sports category.,2026-02-04,AWS,https://uei-proofs.s3.amazonaws.com/ach-b6d97df4.pdf
279fb044-d388-416e-be12-beac65e46e68,fbeeb084-9c6b-4567-a8d5-a9cc0989f288,University Badminton Championship,SPORTS,Achievement recorded under Sports category.,2026-06-27,Google,https://uei-proofs.s3.amazonaws.com/ach-b7cdeff8.pdf
636e1b3f-91d0-4703-9f0d-db19c5d815b6,9625757e-7b13-4777-bfd2-f7efe3fb69c4,Google Data Analytics Certificate,CERTIFICATION,Achievement recorded under Certification category.,2024-07-29,IEEE,https://uei-proofs.s3.amazonaws.com/ach-4ff1c545.pdf
ef29a030-c4af-45cf-aa00-48f58e07a27d,9625757e-7b13-4777-bfd2-f7efe3fb69c4,Hack36 Winner,HACKATHON,Achievement recorded under Hackathon category.,2026-03-21,Google,https://uei-proofs.s3.amazonaws.com/ach-4e6f5519.pdf
51a66893-d912-4123-bf40-cb864bb8e28a,9625757e-7b13-4777-bfd2-f7efe3fb69c4,University Badminton Championship,SPORTS,Achievement recorded under Sports category.,2025-10-09,AICTE,https://uei-proofs.s3.amazonaws.com/ach-676425cf.pdf
624d75f9-aa80-412a-97fc-82368a2fffef,fa5e4ff9-07c0-4945-919e-ffcfc2b67440,Hack36 Winner,HACKATHON,Achievement recorded under Hackathon category.,2025-01-19,SKIT,https://uei-proofs.s3.amazonaws.com/ach-ce197f53.pdf
0176aa74-f846-441b-afc5-c9f423742d5f,fa5e4ff9-07c0-4945-919e-ffcfc2b67440,Technical Club Core Member,CLUB,Achievement recorded under Club category.,2024-09-07,Google,https://uei-proofs.s3.amazonaws.com/ach-4365cd1e.pdf
4579aca2-236b-4f6f-857c-14b24fa760e9,bfeac8cd-70de-41ab-aae8-9db7fb298d97,AWS Cloud Practitioner,CERTIFICATION,Achievement recorded under Certification category.,2026-07-02,AICTE,https://uei-proofs.s3.amazonaws.com/ach-4805e006.pdf
e3290b5e-fd4b-46a6-99dc-42f5f2d0ce21,bfeac8cd-70de-41ab-aae8-9db7fb298d97,LeetCode Contest Rank,CONTEST,Achievement recorded under Contest category.,2025-10-18,Google,https://uei-proofs.s3.amazonaws.com/ach-29774096.pdf
d2e2842e-afdf-4097-8fa6-31c640028de9,224a491e-b267-430d-8a0c-ee9e19880a7c,Hack36 Winner,HACKATHON,Achievement recorded under Hackathon category.,2025-02-16,AWS,https://uei-proofs.s3.amazonaws.com/ach-0404ecdb.pdf
a7ec0a18-c290-4ad9-ad58-724180f979bd,224a491e-b267-430d-8a0c-ee9e19880a7c,LeetCode Contest Rank,CONTEST,Achievement recorded under Contest category.,2026-03-14,AICTE,https://uei-proofs.s3.amazonaws.com/ach-757ab4f6.pdf
3c6ff9b7-5838-4063-a048-2e6b9648f6bf,7612300c-13b5-494d-b31e-45f0277d9f4b,Smart India Hackathon - Finalist,HACKATHON,Achievement recorded under Hackathon category.,2026-03-11,Google,https://uei-proofs.s3.amazonaws.com/ach-395efe5f.pdf
9a7ab93c-52f7-4eaa-8ab1-d53dd727ff3d,18be0e32-197e-4df0-8948-2a65eafedaa7,College Hackathon - 2nd Place,HACKATHON,Achievement recorded under Hackathon category.,2025-02-21,AWS,https://uei-proofs.s3.amazonaws.com/ach-ad1c51b8.pdf
308f1404-9c27-425c-9599-ebefd528d09a,05b78ffa-dcb2-4499-967e-d687fd852e65,GeeksforGeeks Coding Contest,CONTEST,Achievement recorded under Contest category.,2025-05-16,External Body,https://uei-proofs.s3.amazonaws.com/ach-ec0e21ca.pdf
57730c5a-3d9d-4125-9820-2d8cedd06b4c,a8d23c1d-41bc-431c-b13a-ec8771147638,Smart India Hackathon - Finalist,HACKATHON,Achievement recorded under Hackathon category.,2024-06-18,External Body,https://uei-proofs.s3.amazonaws.com/ach-334a3637.pdf
2712a8a1-aa4b-4910-a968-90bc4a8c4680,a8d23c1d-41bc-431c-b13a-ec8771147638,College Hackathon - 2nd Place,HACKATHON,Achievement recorded under Hackathon category.,2025-03-13,Google,https://uei-proofs.s3.amazonaws.com/ach-5e3a5079.pdf
d5624bf2-5dc1-4171-baaa-cf97e404d9d2,2bb2dd9f-4e45-49ac-863e-11edeed7e869,Research paper on ML applications,PUBLICATION,Achievement recorded under Publication category.,2025-02-28,Google,https://uei-proofs.s3.amazonaws.com/ach-3d5ae271.pdf
51891fef-aa99-476b-86ef-88523308999a,d429c2bb-e6dc-408b-98cf-a4a048882e0f,GeeksforGeeks Coding Contest,CONTEST,Achievement recorded under Contest category.,2025-08-14,SKIT,https://uei-proofs.s3.amazonaws.com/ach-02a89d32.pdf
3507ad7d-df5b-4c1c-bc88-81a156b8646f,f4e38da8-2672-4599-8a01-b7027e4940fb,Hack36 Winner,HACKATHON,Achievement recorded under Hackathon category.,2024-08-10,External Body,https://uei-proofs.s3.amazonaws.com/ach-3e6d1569.pdf
4d817551-c6c6-4041-abf8-f783343e7427,aec7a09d-cce7-4f59-b134-5a2de1609367,Hack36 Winner,HACKATHON,Achievement recorded under Hackathon category.,2025-02-10,IEEE,https://uei-proofs.s3.amazonaws.com/ach-cde2bd56.pdf
52646822-dee0-425b-a233-4c85b4c0bba1,e4523ecf-bfdc-4ac6-bc2e-d7311f35c05f,Research paper on ML applications,PUBLICATION,Achievement recorded under Publication category.,2026-02-26,AWS,https://uei-proofs.s3.amazonaws.com/ach-38e37ea4.pdf
06884ed8-9790-4551-8b46-56af88de315b,5860d71c-eeb2-43f9-bf23-d369127d562c,Coding Club Event Organizer,CLUB,Achievement recorded under Club category.,2024-07-07,External Body,https://uei-proofs.s3.amazonaws.com/ach-7fc830a4.pdf
bd456525-0317-4895-ace0-9d8852b95a95,5708dc25-f806-44f5-be17-75cb4ed8abd7,Coding Club Event Organizer,CLUB,Achievement recorded under Club category.,2025-08-27,SKIT,https://uei-proofs.s3.amazonaws.com/ach-a1a58eaa.pdf
630b0e23-1b82-41f1-b08d-2dcb8bfae06f,5708dc25-f806-44f5-be17-75cb4ed8abd7,Coding Club Event Organizer,CLUB,Achievement recorded under Club category.,2026-05-09,External Body,https://uei-proofs.s3.amazonaws.com/ach-ee2c2858.pdf
51f66fb5-0240-4a17-b684-03407f349f6e,30cc6b23-8c66-463f-8a89-32002c807ecc,University Badminton Championship,SPORTS,Achievement recorded under Sports category.,2026-06-08,SKIT,https://uei-proofs.s3.amazonaws.com/ach-32d199c5.pdf
429860f5-4510-43ee-a645-2648f23de506,e37435ed-b80b-46a4-b1c4-2c67effec2b3,Smart India Hackathon - Finalist,HACKATHON,Achievement recorded under Hackathon category.,2025-12-22,Google,https://uei-proofs.s3.amazonaws.com/ach-185311b2.pdf
96c7b41a-a8b5-4f28-a1d1-998a0b38cde1,820d3435-69f9-4542-bbc7-53817d9b075d,CodeChef Div 2 - Top 10%,CONTEST,Achievement recorded under Contest category.,2025-09-01,IEEE,https://uei-proofs.s3.amazonaws.com/ach-c2800f47.pdf
a5c9bd36-cbff-4300-ae76-316b565dbe95,35e42779-079f-425d-9f2f-266fbb0c4d19,Smart India Hackathon - Finalist,HACKATHON,Achievement recorded under Hackathon category.,2025-04-06,External Body,https://uei-proofs.s3.amazonaws.com/ach-e31e97a5.pdf
a42bdd6f-113e-4c29-a05c-7f55ef510bb9,35e42779-079f-425d-9f2f-266fbb0c4d19,University Badminton Championship,SPORTS,Achievement recorded under Sports category.,2024-07-18,AWS,https://uei-proofs.s3.amazonaws.com/ach-5c626f87.pdf
edc4264d-5db0-4f0b-8b7f-d516751f23f5,adb162ca-3c48-4063-a1f7-004a5a975fbb,AWS Cloud Practitioner,CERTIFICATION,Achievement recorded under Certification category.,2025-05-25,IEEE,https://uei-proofs.s3.amazonaws.com/ach-ff8ad53b.pdf
218143cb-22c3-45a0-8020-3543cf0aeeb4,03a9127e-d63e-41b3-8bee-89755be92428,Hack36 Winner,HACKATHON,Achievement recorded under Hackathon category.,2024-07-02,AICTE,https://uei-proofs.s3.amazonaws.com/ach-9eaf2f00.pdf
c70ef112-6ef2-44ab-80ea-109ff00a458b,ebb1915f-d328-4e0e-b86e-956ee6fcd97c,Google Data Analytics Certificate,CERTIFICATION,Achievement recorded under Certification category.,2026-07-17,AICTE,https://uei-proofs.s3.amazonaws.com/ach-f2e4a197.pdf
8de1b13c-aa91-493e-875e-ab9195427cd7,5d86059e-9ca8-4411-b11e-8b27b76b339b,Inter-college Cricket Tournament - Runner-up,SPORTS,Achievement recorded under Sports category.,2024-08-05,External Body,https://uei-proofs.s3.amazonaws.com/ach-9adff7ad.pdf
d69b8610-71b1-49c9-83e6-33dcab9bd4c1,4a1f8d7b-dbcf-4242-96c7-ef9d6aeb0e10,Smart India Hackathon - Finalist,HACKATHON,Achievement recorded under Hackathon category.,2024-09-11,SKIT,https://uei-proofs.s3.amazonaws.com/ach-f4be9ab7.pdf
8ae46798-d788-457d-b602-18de75b6ec4c,66e3c9d5-2d66-4671-8e86-6cba5ad48d76,Hack36 Winner,HACKATHON,Achievement recorded under Hackathon category.,2026-07-28,IEEE,https://uei-proofs.s3.amazonaws.com/ach-fdabf7ed.pdf
f31eb2af-516f-4102-a6d3-1ecd33427d98,8700c3f7-810d-40ef-b49b-ed095aa26a5e,College Hackathon - 2nd Place,HACKATHON,Achievement recorded under Hackathon category.,2025-12-19,Google,https://uei-proofs.s3.amazonaws.com/ach-ffad7e33.pdf
1892b182-0db3-41d8-b8a4-fd348bde4dd1,9461c275-9e50-4dbf-844b-fdcec220b20b,Technical Club Core Member,CLUB,Achievement recorded under Club category.,2025-01-16,Google,https://uei-proofs.s3.amazonaws.com/ach-4b55b73e.pdf
88f8ef5b-e194-4698-8c54-f8896095f850,9461c275-9e50-4dbf-844b-fdcec220b20b,Research paper on ML applications,PUBLICATION,Achievement recorded under Publication category.,2025-03-19,AWS,https://uei-proofs.s3.amazonaws.com/ach-c9d097bb.pdf
6382bef3-b7c4-43d6-be1a-522e75fedc41,1a6b449a-6f07-41ae-a808-2a1777a873fe,CodeChef Div 2 - Top 10%,CONTEST,Achievement recorded under Contest category.,2024-08-18,Google,https://uei-proofs.s3.amazonaws.com/ach-215df9ad.pdf
c572cee5-261e-4426-aba8-e34866c2d792,1a6b449a-6f07-41ae-a808-2a1777a873fe,Google Data Analytics Certificate,CERTIFICATION,Achievement recorded under Certification category.,2024-10-02,AICTE,https://uei-proofs.s3.amazonaws.com/ach-405bda53.pdf
d2088588-7b43-4a74-9b1e-3d52722b151e,1a6b449a-6f07-41ae-a808-2a1777a873fe,AWS Cloud Practitioner,CERTIFICATION,Achievement recorded under Certification category.,2024-07-02,AWS,https://uei-proofs.s3.amazonaws.com/ach-b15fd585.pdf
d121b906-fc84-4726-a75b-aab1445c06cc,4886a7ec-9f8a-4141-812f-7adc1d815651,GeeksforGeeks Coding Contest,CONTEST,Achievement recorded under Contest category.,2025-12-04,AICTE,https://uei-proofs.s3.amazonaws.com/ach-0cbd367b.pdf
29715965-b1c4-4292-94c4-d0725fd8894e,4886a7ec-9f8a-4141-812f-7adc1d815651,Inter-college Cricket Tournament - Runner-up,SPORTS,Achievement recorded under Sports category.,2025-05-17,AICTE,https://uei-proofs.s3.amazonaws.com/ach-fe81c4df.pdf
f4fb3b08-5387-496a-8520-5869a7eb9d95,ecca7626-ae07-4f23-80da-9ddb1c516eda,Technical Club Core Member,CLUB,Achievement recorded under Club category.,2024-06-04,Google,https://uei-proofs.s3.amazonaws.com/ach-11e59a4e.pdf
97941fde-e2da-4984-8aea-c5f19c00f0c0,ecca7626-ae07-4f23-80da-9ddb1c516eda,Google Data Analytics Certificate,CERTIFICATION,Achievement recorded under Certification category.,2024-07-14,AICTE,https://uei-proofs.s3.amazonaws.com/ach-d1b6d799.pdf
861bd111-e67b-4a22-a028-cfba75b584ba,c8749c2b-b4ff-4f32-98e9-7daedb9e2ee9,Research paper on ML applications,PUBLICATION,Achievement recorded under Publication category.,2025-05-25,SKIT,https://uei-proofs.s3.amazonaws.com/ach-031cf31e.pdf
c6cfe0be-b012-401a-a4b1-d67e2134c570,6e59252b-8f4d-4b5a-8e11-c84524a75f63,University Badminton Championship,SPORTS,Achievement recorded under Sports category.,2026-05-02,IEEE,https://uei-proofs.s3.amazonaws.com/ach-53cdfe2a.pdf
9b83ff30-1ea2-4215-85d9-34dda76afc38,6e59252b-8f4d-4b5a-8e11-c84524a75f63,University Badminton Championship,SPORTS,Achievement recorded under Sports category.,2025-11-24,AICTE,https://uei-proofs.s3.amazonaws.com/ach-d842bd24.pdf
bde0e69b-7621-4538-b550-27ea1857ed95,22269da9-6a06-4549-9c7c-daa80bc404d3,LeetCode Contest Rank,CONTEST,Achievement recorded under Contest category.,2025-07-05,External Body,https://uei-proofs.s3.amazonaws.com/ach-9d6d5972.pdf
2ed76062-ef57-4338-b360-4a951dd7dc8a,22269da9-6a06-4549-9c7c-daa80bc404d3,IEEE Conference Paper - Co-author,PUBLICATION,Achievement recorded under Publication category.,2026-02-12,External Body,https://uei-proofs.s3.amazonaws.com/ach-f8e0a323.pdf
10730c74-fe3a-405e-afea-e964d5566a04,32c44be7-76c1-4d77-a22e-66f87fb71acd,AWS Cloud Practitioner,CERTIFICATION,Achievement recorded under Certification category.,2024-12-04,External Body,https://uei-proofs.s3.amazonaws.com/ach-b4c5492d.pdf
e388f151-999f-4a15-b068-1bb3ac43aee3,a11c7b94-3d35-4dcf-b26b-40a14c9c4994,Google Data Analytics Certificate,CERTIFICATION,Achievement recorded under Certification category.,2025-02-10,SKIT,https://uei-proofs.s3.amazonaws.com/ach-29254bcc.pdf
